Label,Area,Perimeter,equivalent_diameter_area,axis_major_length,axis_minor_length,eccentricity,solidity,intensity_mean,intensity_max,intensity_min,intensity_median,intensity_std,Cluster
99,1749.0,171.4386001800126,47.18999855628097,62.19092929770794,37.08320508000672,0.8027765595637608,0.95993413830955,113.40251572327044,152.0,71.0,112.0,8.378913503460119,1
100,2565.0,254.95331880577402,57.147698398498015,114.4389693881591,29.51772695850048,0.9661624786830512,0.9229938826916156,81.1150097465887,220.0,42.0,79.0,22.126810425811218,0
101,698.0,125.49747468305833,29.811427376513585,52.86215585503868,17.40328720200219,0.94425319105745,0.9269588313413014,77.03724928366762,124.0,61.0,74.0,10.944967280258899,0
102,765.0,103.49747468305833,31.209425687160593,37.1889295706836,26.27680629129712,0.7076371322707183,0.9745222929936306,65.3529411764706,190.0,40.0,61.0,17.410938860471475,0
103,1331.0,139.88225099390854,41.16651350360511,49.5311173428169,34.44602800332795,0.7185820624241351,0.968,69.3328324567994,153.0,48.0,67.0,10.53702838131646,0
104,1290.0,138.22539674441617,40.527509332654034,42.974754942415366,38.89036586641356,0.42550003255451035,0.9655688622754491,110.04883720930232,142.0,85.0,110.0,6.430060415150968,1
105,1125.0,135.29646455628165,37.8469878303024,44.43500507434601,34.07790008445799,0.641747933741857,0.9525825571549534,103.56444444444445,211.0,77.0,101.0,13.190588489197822,1
106,2002.0,184.8528137423857,50.487875460944046,72.03577681964903,35.88925807012538,0.8670538949104724,0.9592716818399617,112.08541458541458,155.0,79.0,113.0,10.655030144751422,1
107,769.0,108.56854249492379,31.29091257699814,40.11349006674025,24.57602625039094,0.7903447409054589,0.9600499375780275,103.63849154746424,145.0,68.0,105.0,10.82473571576916,1
108,2627.0,200.06601717798213,57.834248365646395,66.23580778734545,51.20320155013266,0.6343522625844821,0.9658088235294118,120.45032356299961,208.0,85.0,119.0,16.908093300033073,1
109,1799.0,189.58073580374355,47.85977372469032,76.21262197888748,32.53409597467929,0.9043054811163712,0.948339483394834,69.43413007226236,162.0,46.0,68.0,11.218233996181697,0
110,1355.0,142.46803743153546,41.53600345623234,45.56805924727816,38.896500716958485,0.5209432077183412,0.9720229555236729,113.8959409594096,138.0,94.0,114.0,6.57122923317172,1
111,328.0,83.35533905932738,20.435815879801165,36.45533442586418,11.806344219100051,0.9461057703500485,0.9371428571428572,94.0060975609756,172.0,58.0,84.0,27.595399261121877,0
112,1038.0,126.5685424949238,36.3541283410165,44.37279962145153,30.5134989333094,0.7260307424702435,0.9522935779816514,111.59730250481695,174.0,87.0,110.0,9.255611870914997,1
113,4131.0,305.0782104868019,72.52415155864257,120.83705680814266,46.87355539818963,0.9216984657377029,0.965412479551297,116.54659888646816,195.0,83.0,112.0,15.75778735844215,1
114,1946.0,203.58073580374355,49.77674310413073,78.73257136222053,34.78394206448652,0.8971142467095562,0.9106223678053346,79.61973278520041,194.0,54.0,74.0,19.767463720023105,0
115,431.0,81.59797974644667,23.42576026046658,29.01906928683364,19.673449712450527,0.7351089173001951,0.9189765458422174,62.58468677494199,156.0,43.0,58.0,15.93305738737279,0
116,219.0,56.62741699796952,16.698486766680407,20.87748076620525,14.17957340965248,0.7339714815522843,0.9776785714285714,80.78538812785388,168.0,40.0,68.0,32.77882942753312,0
117,1214.0,136.5685424949238,39.315554266835505,47.438257575750725,33.63538625134432,0.7051732625245672,0.9589257503949447,111.89373970345964,154.0,94.0,111.0,8.001610856239132,1
118,5570.0,371.4213562373095,84.21368216729901,157.37244923155603,45.72500233290728,0.956858967190587,0.9524623803009576,107.42531418312387,216.0,63.0,105.0,18.310171363210177,1
119,1216.0,132.66904755831214,39.34792607492748,43.12890524354126,36.6176185273447,0.5283489584978699,0.9689243027888447,117.1439144736842,163.0,97.0,116.0,8.751964768466262,1
120,1070.0,129.05382386916236,36.910246719124274,37.95494126929869,37.422518269511116,0.1669094124630629,0.9519572953736655,116.14766355140186,153.0,97.0,114.0,9.226570183158326,1
121,353.0,76.62741699796952,21.200319792199185,30.716064044930913,15.017235653924613,0.8723370639366493,0.9438502673796791,85.52407932011332,148.0,65.0,81.0,13.798021507573226,0
122,1421.0,146.78174593052023,42.53555445822549,48.54241739783763,37.923410917261755,0.6242273539863068,0.9620853080568721,111.7945109078114,173.0,91.0,111.0,7.147879868788746,1
123,758.0,120.25483399593904,31.066309322306914,40.913064754510366,27.15157495664905,0.7480514825402984,0.9165659008464329,101.52242744063325,150.0,87.0,99.0,8.697277554016274,1
124,501.0,89.84062043356595,25.25654394235911,31.343119594622557,21.6471055070389,0.7231897819462544,0.9524714828897338,113.57485029940119,153.0,95.0,113.0,6.785043301434431,1
125,551.0,92.08326112068522,26.486883341553696,33.48578622448107,21.195167602850187,0.7741843926292181,0.9532871972318339,64.97822141560799,154.0,45.0,61.0,13.32790004174187,0
126,812.0,115.7401153701776,32.15385684991696,43.96609735358393,24.126135612276517,0.8359903919567082,0.9586776859504132,110.67733990147784,167.0,90.0,109.0,10.23007874605454,1
127,2542.0,198.89444430272832,56.89090369045638,70.46250346670976,46.62064153429291,0.7498237720105881,0.9603324518322629,83.77104642014162,192.0,41.0,84.0,20.457827791462385,0
128,1001.0,122.8111831820431,35.700319106135424,44.64770973450148,28.80319184971209,0.7640801088976557,0.9578947368421052,89.85214785214785,153.0,68.0,87.0,10.857358594357626,0
129,1331.0,142.95331880577402,41.16651350360511,50.7214393077125,33.92462044255393,0.7434047365565044,0.9644927536231884,108.27122464312546,156.0,93.0,107.0,8.675253366015413,1
130,1609.0,164.2670273047588,45.261931327318294,60.10516166886188,35.49442815134769,0.8070092706528441,0.9577380952380953,112.67992541951523,156.0,85.0,112.0,7.63940919001992,1
131,1978.0,171.4386001800126,50.18433838844697,53.99776104533629,48.0533389710959,0.4561292381105755,0.9715127701375246,110.6572295247725,148.0,93.0,110.0,7.213471893144305,1
132,1352.0,144.99494936611666,41.489997161749,53.98021660165507,32.523320758391115,0.7981155221830609,0.9670958512160229,112.54807692307692,171.0,92.0,112.0,8.09077909480581,1
133,2045.0,181.09545442950497,51.02719734595863,58.40977694511765,46.62064680606615,0.6024387406659762,0.9538246268656716,110.19804400977995,168.0,74.0,109.0,11.364913882988525,1
134,923.0,132.81118318204307,34.28119163317628,48.67566488478947,27.391568753142124,0.826636399225704,0.9408766564729868,82.4008667388949,165.0,60.0,78.0,16.746393324820982,0
135,1401.0,151.58073580374355,42.23515836567874,48.607934343957766,38.40343204311511,0.613022962769353,0.951766304347826,114.21627408993577,207.0,99.0,113.0,9.186056410139818,1
136,4048.0,319.5218613006978,71.79187751471568,124.49788058390122,47.9801751218335,0.922753996692842,0.8945856353591161,96.03384387351778,185.0,53.0,96.0,18.491962008939222,0
137,5945.0,307.4629867976521,87.00235108001704,99.66714284986314,77.7620759858352,0.6255079780508376,0.9408134198449122,115.54903280067283,204.0,84.0,113.0,15.544266299572572,1
138,1978.0,168.36753236814712,50.18433838844697,58.38424175254059,43.41804602336412,0.6685576074534995,0.9792079207920792,115.11324570273003,153.0,96.0,113.0,8.023746132781799,1
139,430.0,94.46803743153546,23.398568422792877,40.654449257899635,14.098646740265306,0.9379419788284385,0.9148936170212766,80.60697674418604,135.0,60.0,77.0,12.387031766173983,0
140,235.0,67.35533905932738,17.297725082009,29.21846616271199,10.610173213219701,0.9317375292971077,0.9108527131782945,80.05531914893616,156.0,64.0,76.0,13.808767004144132,0
141,7049.0,408.6579002700189,94.7368225709421,163.2775443155486,57.799476362069015,0.9352472173649831,0.9139115778555685,106.32387572705348,202.0,63.0,105.0,19.315589866120373,1
142,1626.0,163.82337649086284,45.500412083182,60.496366278891216,35.27233774294943,0.8124370868616307,0.9387990762124712,118.2220172201722,158.0,100.0,116.5,8.561292355954883,1
143,6697.0,443.6345596729059,92.3411350974818,201.50578201866935,44.97832256083033,0.974770134569752,0.9126464976832924,104.01448409735703,227.0,63.0,103.0,17.71210375809401,1
144,648.0,100.76955262170047,28.723844188903154,34.79145580404115,24.486690332336284,0.710384964533631,0.9557522123893806,85.45216049382717,150.0,65.0,82.0,12.149183085839725,0
145,7908.0,386.77669529663683,100.34330231642602,149.7672090745434,69.78639771992437,0.8848027300921698,0.9599417334304443,106.06461810824482,215.0,79.0,104.0,14.468085245150329,1
146,2316.0,270.492424049175,54.303064237726375,116.76641393895002,27.304004846285174,0.9722764377290888,0.9380315917375456,101.1545768566494,177.0,68.0,100.0,11.718463751558792,1
147,1221.0,152.12489168102783,39.42873931692001,60.2576010032587,26.881593343401352,0.8949775181455251,0.9531615925058547,113.04832104832104,147.0,96.0,112.0,6.575470577490055,1
148,1882.0,176.06601717798213,48.95137202562944,64.50064963230406,38.16229130037371,0.8061894540922444,0.9395906140788817,115.3443145589798,169.0,93.0,114.0,8.306460239078412,1
149,1451.0,145.53910524340094,42.982212360588434,50.71421446140214,36.934079630868425,0.6852811162759757,0.971868720696584,109.79117849758786,148.0,95.0,108.0,7.8872012929081015,1
150,653.0,108.08326112068522,28.834448541840736,39.54477346683311,22.4614899409392,0.8230275306824612,0.9382183908045977,78.16232771822358,134.0,59.0,76.0,12.920702505440698,0
151,1496.0,185.4386001800126,43.64362907600379,71.17273730156779,31.11076380474664,0.8994049908901776,0.9144254278728606,100.20254010695187,145.0,81.0,99.0,7.898403613649618,1
